commons-math,fd37b5dd02bbce93f6f4fceb6bc3e6aa4641c5a7,1447107093,1246
commons-math,a94ff90ab6cd2d92ccb2eb1fd7913b4e5256f02b,1446752247,1269
commons-math,09fe956a62e19c160d0093f8fecf254c2bb6f0cb,1437698125,1252
commons-math,c768ed307d08484cd61ad8ac3faac330d22c8775,1428507384,1162
commons-math,ce2badf02e266a84e2485f1793f13bf722c29306,1425929877,1208
commons-math,f7e42d2ccf949a5893a439227c8c6bafd2598f26,1422145581,1198
commons-math,c93cc818fb56aca198545c63a8015f26472ee0fa,1420734025,1188
commons-math,301ad592142079d36f4d33f5309c103c7f4f5dfb,1415790973,1167
commons-math,4a339cda2c3933a2adcb23ea0ea8470d68d1b010,1413534560,1138
commons-math,69273dca6188a3d7d629d0d32dcf9cdb5b6c1036,1412771105,727
commons-math,fca88f8e3d44d743e82ef2fb3ce880f8b98149a3,1403986096,418
commons-math,a197ba858ecf364f9ddf2fe56f3611cf97b4c3b1,1400511603,1123
commons-math,cbc32459f8f36e5c57a9db74709e813e5f77bb5e,1398004182,1119
commons-math,499101c88c8158844e7bbdcba35b8fe91bed8314,1392830399,870
commons-math,faf997271b36b80d9a342bb1a5a666e8a7a1fb56,1391099468,1096
commons-math,7cfbc0da48c8cc8939e97427d8ee5b22c5e55f28,1390579424,1093
